Group,Duration (min),exp,res
FR,18.283333333333335,regular,failed
FR,19.733333333333334,regular,failed
FR,18.433333333333334,regular,failed
FR,18.433333333333334,regular,failed
FR,18.116666666666667,regular,failed
FR,18.133333333333333,regular,failed
FR,18.166666666666668,regular,failed
FR,18.2,regular,failed
FF,20.633333333333333,flaky,failed
FF,20.65,flaky,failed
FF,20.666666666666668,flaky,failed
FF,20.95,flaky,failed
FF,20.65,flaky,failed
FF,20.65,flaky,failed
FF,20.6,flaky,failed
FF,20.6,flaky,failed
FF,20.55,flaky,failed
FF,20.766666666666666,flaky,failed
FF,20.9,flaky,failed
FF,21.15,flaky,failed
FF,20.666666666666668,flaky,failed
FF,20.55,flaky,failed
FF,20.683333333333334,flaky,failed
PR,16.383333333333333,regular,passed
PR,16.583333333333332,regular,passed
PR,16.416666666666668,regular,passed
PR,16.4,regular,passed
PR,16.4,regular,passed
PR,16.7,regular,passed
PR,16.583333333333332,regular,passed
PR,16.4,regular,passed
PR,16.433333333333334,regular,passed
PR,16.533333333333335,regular,passed
PR,16.516666666666666,regular,passed
PR,16.483333333333334,regular,passed
PR,16.5,regular,passed
PR,16.483333333333334,regular,passed
PR,16.6,regular,passed
PR,16.466666666666665,regular,passed
PR,16.516666666666666,regular,passed
PR,16.45,regular,passed
PR,16.466666666666665,regular,passed
PR,16.55,regular,passed
PR,16.45,regular,passed
PR,16.483333333333334,regular,passed
PR,16.35,regular,passed
PR,16.566666666666666,regular,passed
PR,16.433333333333334,regular,passed
PR,16.366666666666667,regular,passed
PR,16.633333333333333,regular,passed
PR,16.433333333333334,regular,passed
PR,16.516666666666666,regular,passed
PR,16.5,regular,passed
PR,16.55,regular,passed
PR,16.5,regular,passed
PR,16.7,regular,passed
PR,16.533333333333335,regular,passed
PR,16.45,regular,passed
PR,16.583333333333332,regular,passed
PR,16.516666666666666,regular,passed
PR,16.5,regular,passed
PR,16.666666666666668,regular,passed
PR,16.5,regular,passed
PR,16.45,regular,passed
PR,16.416666666666668,regular,passed
PR,16.433333333333334,regular,passed
PR,16.583333333333332,regular,passed
PR,16.4,regular,passed
PR,16.4,regular,passed
PR,16.55,regular,passed
PR,16.516666666666666,regular,passed
PR,16.4,regular,passed
PR,16.533333333333335,regular,passed
PR,16.433333333333334,regular,passed
